campaign_id,expenditure
da68536a-fdf0-11eb-8dd7-0e087721c0e9,0.43115
32cde48a-fdfa-11eb-8dd7-0e087721c0e9,0.20059999999999997
aa7df4ce-fdf1-11eb-8dd7-0e087721c0e9,0.048560000000000006
8f412a7c-fdf7-11eb-8dd7-0e087721c0e9,0.015019999999999999
844708ac-fdf8-11eb-8dd7-0e087721c0e9,0.013080000000000001
b72689ca-fdf1-11eb-8dd7-0e087721c0e9,0.0105
beb01378-fdfb-11eb-8dd7-0e087721c0e9,0.00098
b2ed8f6c-fdfa-11eb-8dd7-0e087721c0e9,0.00094
e07abb70-fdf1-11eb-8dd7-0e087721c0e9,0.00075
f5e77024-fdf2-11eb-8dd7-0e087721c0e9,0.00026
